Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
R 寄存器.Boolean1,R0100.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean2,R0100.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean3,R0100.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean4,R0100.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean5,R0100.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean6,R0100.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean7,R0100.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean8,R0100.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean9,R0100.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean10,R0100.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean11,R0100.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean12,R0100.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean13,R0100.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean14,R0100.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean15,R0100.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean16,R0100.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean17,R0101.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean18,R0101.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean19,R0101.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean20,R0101.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean21,R0101.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean22,R0101.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean23,R0101.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean24,R0101.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean25,R0101.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean26,R0101.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean27,R0101.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean28,R0101.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean29,R0101.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean30,R0101.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean31,R0101.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean32,R0101.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean33,R0102.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean34,R0102.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean35,R0102.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean36,R0102.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean37,R0102.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean38,R0102.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean39,R0102.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean40,R0102.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean41,R0102.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean42,R0102.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean43,R0102.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean44,R0102.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean45,R0102.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean46,R0102.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean47,R0102.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean48,R0102.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean49,R0103.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean50,R0103.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean51,R0103.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean52,R0103.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean53,R0103.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean54,R0103.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean55,R0103.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean56,R0103.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean57,R0103.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean58,R0103.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean59,R0103.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean60,R0103.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean61,R0103.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean62,R0103.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean63,R0103.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean64,R0103.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean65,R0104.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean66,R0104.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean67,R0104.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean68,R0104.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean69,R0104.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean70,R0104.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean71,R0104.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean72,R0104.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean73,R0104.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean74,R0104.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean75,R0104.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean76,R0104.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean77,R0104.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean78,R0104.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean79,R0104.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean80,R0104.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean81,R0105.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
R 寄存器.Boolean82,R0105.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
