Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
K 寄存器.Boolean1,K0100.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean2,K0100.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean3,K0100.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean4,K0100.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean5,K0100.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean6,K0100.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean7,K0100.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean8,K0100.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean9,K0100.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean10,K0100.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean11,K0100.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean12,K0100.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean13,K0100.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean14,K0100.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean15,K0100.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean16,K0100.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean17,K0101.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean18,K0101.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean19,K0101.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean20,K0101.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean21,K0101.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean22,K0101.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean23,K0101.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean24,K0101.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean25,K0101.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean26,K0101.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean27,K0101.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean28,K0101.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean29,K0101.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean30,K0101.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean31,K0101.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean32,K0101.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean33,K0102.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean34,K0102.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean35,K0102.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean36,K0102.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean37,K0102.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean38,K0102.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean39,K0102.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean40,K0102.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean41,K0102.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean42,K0102.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean43,K0102.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean44,K0102.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean45,K0102.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean46,K0102.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean47,K0102.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean48,K0102.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean49,K0103.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean50,K0103.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean51,K0103.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean52,K0103.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean53,K0103.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean54,K0103.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean55,K0103.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean56,K0103.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean57,K0103.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean58,K0103.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean59,K0103.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean60,K0103.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean61,K0103.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean62,K0103.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean63,K0103.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean64,K0103.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean65,K0104.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean66,K0104.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean67,K0104.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean68,K0104.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean69,K0104.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean70,K0104.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean71,K0104.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean72,K0104.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean73,K0104.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean74,K0104.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean75,K0104.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean76,K0104.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean77,K0104.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean78,K0104.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean79,K0104.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean80,K0104.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean81,K0105.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean82,K0105.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean83,K0105.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean84,K0105.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean85,K0105.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean86,K0105.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean87,K0105.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean88,K0105.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean89,K0105.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean90,K0105.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean91,K0105.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean92,K0105.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean93,K0105.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean94,K0105.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean95,K0105.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean96,K0105.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean97,K0106.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean98,K0106.01,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean99,K0106.02,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean100,K0106.03,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean101,K0106.04,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean102,K0106.05,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean103,K0106.06,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean104,K0106.07,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean105,K0106.08,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean106,K0106.09,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean107,K0106.10,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean108,K0106.11,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean109,K0106.12,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean110,K0106.13,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean111,K0106.14,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean112,K0106.15,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
K 寄存器.Boolean113,K0107.00,Boolean,1,R/W,100,,,,,,,,,,1 位布尔值,
